Question,Options,Correct Option,Explanation,Topic
"The difference between compound interest and simple interest on an amount of Rs. 15,000 for 2 years is Rs. 96. What is the rate of interest per annum?","['8', '10', '12', 'Cannot be determined', 'None of these']",A,15000 x1 +R2- 15000-15000 x R x 2= 96100100150001 +R2- 1 -2R= 9610010015000(100 + R)2- 10000 - (200 x R)= 9610000R2=96 x 2= 643R = 8.Rate = 8%.,compound-interest
The compound interest on a certain sum for 2 years at 10% per annum is Rs. 525. The simple interest on the same sum for double the time at half the rate percent per annum is:,"['Rs. 400', 'Rs. 500', 'Rs. 600', 'Rs. 800']",B,"Let the sum be Rs. P.Then,P1 +102- P= 525100P112- 1= 52510P =525 x 100= 2500.21Sum = Rs . 2500.So, S.I. = Rs.2500 x 5 x 4= Rs. 500100",compound-interest
"Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is:","['44%7', '55%11', '10%', '12%']",B,Cost Price (C.P.) = Rs. (4700 + 800) = Rs. 5500.Selling Price (S.P.) = Rs. 5800.Gain = (S.P.) - (C.P.) = Rs.(5800 - 5500) = Rs. 300.Gain % =300x 100%= 55%550011,profit-and-loss
"The cost price of 20 articles is the same as the selling price ofxarticles. If the profit is 25%, then the value ofxis:","['15', '16', '18', '25']",B,Let C.P. of each article be Re. 1 C.P. ofxarticles = Rs.x.S.P. ofxarticles = Rs. 20.Profit = Rs. (20 -x).20 -xx 100 = 25x2000 - 100x= 25x125x= 2000x= 16.Video Explanation:https://youtu.be/sidqvjUoZxY,profit-and-loss
"If selling price is doubled, the profit triples. Find the profit percent.","['6623', '100', '10513', '120']",B,"Let C.P. be Rs.xand S.P. be Rs.y.Then, 3(y-x) = (2y-x)y= 2x.Profit = Rs. (y-x) = Rs. (2x-x) = Rs.x.Profit % =xx 100% = 100%xVideo Explanation:https://youtu.be/dPzF10mGsWE",profit-and-loss
"In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?","['30%', '70%', '100%', '250%']",B,"Let C.P.= Rs. 100. Then, Profit = Rs. 320, S.P. = Rs. 420.New C.P. = 125% of Rs. 100 = Rs. 125New S.P. = Rs. 420.Profit = Rs. (420 - 125) = Rs. 295.Required percentage =295x 100%=1475% = 70% (approximately).42021Video Explanation:https://youtu.be/bQA8SB8ycbw",profit-and-loss
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?,"['3', '4', '5', '6']",C,"C.P. of 6 toffees = Re. 1S.P. of 6 toffees = 120% of Re. 1 = Rs.65For Rs.6, toffees sold = 6.5For Re. 1, toffees sold =6 x5= 5.6Video Explanation:https://youtu.be/7wKrnZ0LKA8",profit-and-loss
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?,"['Rs. 2000', 'Rs. 2200', 'Rs. 2400', 'Data inadequate']",A,"Let C.P. be Rs.x.Then,1920 -xx 100 =x- 1280x 100xx1920 -x=x- 12802x= 3200x= 1600Required S.P. = 125% of Rs. 1600 = Rs.125x 1600= Rs 2000.100Video Explanation:https://youtu.be/0tTd5TwCspY",profit-and-loss
"A shopkeeper expects a gain of 22.5% on his cost price. If in a week, his sale was of Rs. 392, what was his profit?","['Rs. 18.20', 'Rs. 70', 'Rs. 72', 'Rs. 88.25']",C,C.P. = Rs.100x 392= Rs.1000x 392= Rs. 320122.51225Profit = Rs. (392 - 320) = Rs. 72.Video Explanation:https://youtu.be/a36nJFgh5yk,profit-and-loss
A man buys a cycle for Rs. 1400 and sells it at a loss of 15%. What is the selling price of the cycle?,"['Rs. 1090', 'Rs. 1160', 'Rs. 1190', 'Rs. 1202']",C,S.P. = 85% of Rs. 1400 = Rs.85x 1400= Rs. 1190100Video Explanation:https://youtu.be/jn0XIafQvAc,profit-and-loss
Sam purchased 20 dozens of toys at the rate of Rs. 375 per dozen. He sold each one of them at the rate of Rs. 33. What was his percentage profit?,"['3.5', '4.5', '5.6', '6.5']",C,"Cost Price of 1 toy = Rs.375= Rs. 31.2512Selling Price of 1 toy = Rs. 33So, Gain = Rs. (33 - 31.25) = Rs. 1.75Profit % =1.75x 100%=28% = 5.6%31.255Video Explanation:https://youtu.be/MhswuvDVWzo",profit-and-loss
Some articles were bought at 6 articles for Rs. 5 and sold at 5 articles for Rs. 6. Gain percent is:,"['30%', '331%3', '35%', '44%']",D,"Suppose, number of articles bought = L.C.M. of 6 and 5 = 30.C.P. of 30 articles = Rs.5x 30= Rs. 25.6S.P. of 30 articles = Rs.6x 30= Rs. 36.5Gain % =11x 100% = 44%.25",profit-and-loss
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is:","['Rs. 45', 'Rs. 50', 'Rs. 55', 'Rs. 60']",D,(C.P. of 17 balls) - (S.P. of 17 balls) = (C.P. of 5 balls)C.P. of 12 balls = S.P. of 17 balls = Rs.720.C.P. of 1 ball = Rs.720= Rs. 60.12,profit-and-loss
"When a plot is sold for Rs. 18,700, the owner loses 15%. At what price must that plot be sold in order to gain 15%?","['Rs. 21,000', 'Rs. 22,500', 'Rs. 25,300', 'Rs. 25,800']",C,"85 : 18700 = 115 :xx=18700 x 115= 25300.85Hence, S.P. = Rs. 25,300.",profit-and-loss
100 oranges are bought at the rate of Rs. 350 and sold at the rate of Rs. 48 per dozen. The percentage of profit or loss is:,"['142% gain7', '15% gain', '142% loss7', '15 % loss']",A,C.P. of 1 orange = Rs.350= Rs. 3.50100S.P. of 1 orange = Rs.48= Rs. 412Gain% =0.50x 100%=100% = 142%3.5077,profit-and-loss
A shopkeeper sells one transistor for Rs. 840 at a gain of 20% and another for Rs. 960 at a loss of 4%. His total gain or loss percent is:,"['515% loss17', '515% gain17', '62% gain3', 'None of these']",B,"C.P. of 1sttransistor = Rs.100x 840= Rs. 700.120C.P. of 2ndtransistor = Rs.100x 960= Rs. 100096So, total C.P. = Rs. (700 + 1000) = Rs. 1700.Total S.P. = Rs. (840 + 960) = Rs. 1800.Gain % =100x 100%= 515%170017",profit-and-loss
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:,"['No profit, no loss', '5%', '8%', '10%', 'None of these']",B,C.P. of 56 kg rice = Rs. (26 x 20 + 30 x 36) = Rs. (520 + 1080) = Rs. 1600.S.P. of 56 kg rice = Rs. (56 x 30) = Rs. 1680.Gain =80x 100% = 5%.1600,profit-and-loss
"A and B invest in a business in the ratio 3 : 2. If 5% of the total profit goes to charity and A's share is Rs. 855, the total profit is:","['Rs. 1425', 'Rs. 1500', 'Rs. 1537.50', 'Rs. 1576']",B,"Let the total profit be Rs. 100.After paying to charity, A's share = Rs.95 x3= Rs. 57.5If A's share is Rs. 57, total profit = Rs. 100.If A's share Rs. 855, total profit =100x 855= 1500.57",partnership
"A, B and C jointly thought of engaging themselves in a business venture. It was agreed that A would invest Rs. 6500 for 6 months, B, Rs. 8400 for 5 months and C, Rs. 10,000 for 3 months. A wants to be the working member for which, he was to receive 5% of the profits. The profit earned was Rs. 7400. Calculate the share of B in the profit.","['Rs. 1900', 'Rs. 2660', 'Rs. 2800', 'Rs. 2840']",B,"For managing, A received = 5% of Rs. 7400 = Rs. 370.Balance = Rs. (7400 - 370) = Rs. 7030.Ratio of their investments = (6500 x 6) : (8400 x 5) : (10000 x 3)= 39000 : 42000 : 30000= 13 : 14 : 10B's share = Rs.7030 x14= Rs. 2660.37",partnership
"A, B and C enter into a partnership in the ratio::. After 4 months, A increases his share 50%. If the total profit at the end of one year be Rs. 21,600, then B's share in the profit is:","['Rs. 2100', 'Rs. 2400', 'Rs. 3600', 'Rs. 4000']",D,"Ratio of initial investments =7:4:6= 105 : 40 : 36.235Let the initial investments be 105x, 40xand 36x.A : B : C =105xx 4 +150x 105xx 8: (40xx 12) : (36xx 12)100= 1680x: 480x: 432x= 35 : 10 : 9.Hence, B's share = Rs.21600 x10= Rs. 4000.54",partnership
"A, B, C subscribe Rs. 50,000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs. 35,000, A receives:","['Rs. 8400', 'Rs. 11,900', 'Rs. 13,600', 'Rs. 14,700']",D,"Let C =x.Then, B =x+ 5000 and A =x+ 5000 + 4000 =x+ 9000.So,x+x+ 5000 +x+ 9000 = 500003x= 36000x= 12000A : B : C = 21000 : 17000 : 12000 = 21 : 17 : 12.A's share = Rs.35000 x21= Rs. 14,700.50",partnership
"Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?","['5 : 7 : 8', '20 : 49 : 64', '38 : 28 : 21', 'None of these']",B,"Let their investments be Rs.xfor 14 months, Rs.yfor 8 months and Rs.zfor 7 months respectively.Then, 14x: 8y: 7z= 5 : 7 : 8.Now,14x=598x= 40yy=49x8y720And,14x=5112x= 35zz=112x=16x.7z8355x:y:z=x:49x:16x= 20 : 49 : 64.205",partnership
"A starts business with Rs. 3500 and after 5 months, B joins with A as his partner. After a year, the profit is divided in the ratio 2 : 3. What is B's contribution in the capital?","['Rs. 7500', 'Rs. 8000', 'Rs. 8500', 'Rs. 9000']",D,"Let B's capital be Rs.x.Then,3500 x 12=27x314x= 126000x= 9000.",partnership
"A and B entered into partnership with capitals in the ratio 4 : 5. After 3 months, A withdrewof his capital and B withdrewof his capital. The gain at the end of 10 months was Rs. 760. A's share in this profit is:","['Rs. 330', 'Rs. 360', 'Rs. 380', 'Rs. 430']",A,A : B =4xx 3 +4x-1x 4xx 7:5xx 3 +5x-1x 5xx 745= (12x+ 21x) : (15x+ 28x)= 33x:43x= 33 : 43.A's share = Rs.760 x33= Rs. 330.76,partnership
"A and B started a partnership business investing some amount in the ratio of 3 : 5. C joined then after six months with an amount equal to that of B. In what proportion should the profit at the end of one year be distributed among A, B and C?","['3 : 5 : 2', '3 : 5 : 5', '6 : 10 : 5', 'Data inadequate']",C,Let the initial investments of A and B be 3xand 5x.A : B : C = (3xx 12) : (5xx 12) : (5xx 6) = 36 : 60 : 30 = 6 : 10 : 5.,partnership
"A, B, C rent a pasture. A puts 10 oxen for 7 months, B puts 12 oxen for 5 months and C puts 15 oxen for 3 months for grazing. If the rent of the pasture is Rs. 175, how much must C pay as his share of rent?","['Rs. 45', 'Rs. 50', 'Rs. 55', 'Rs. 60']",A,A : B : C = (10 x 7) : (12 x 5) : (15 x 3) = 70 : 60 : 45 = 14 : 12 : 9.C's rent = Rs.175 x9= Rs. 45.35,partnership
"A and B started a business in partnership investing Rs. 20,000 and Rs. 15,000 respectively. After six months, C joined them with Rs. 20,000. What will be B's share in total profit of Rs. 25,000 earned at the end of 2 years from the starting of the business?","['Rs. 7500', 'Rs. 9000', 'Rs. 9500', 'Rs. 10,000']",A,"A : B : C = (20,000 x 24) : (15,000 x 24) : (20,000 x 18) = 4 : 3 : 3.B's share = Rs.25000 x3= Rs. 7,500.10",partnership
"A began a business with Rs. 85,000. He was joined afterwards by B with Rs. 42,500. For how much period does B join, if the profits at the end of the year are divided in the ratio of 3 : 1?","['4 months', '5 months', '6 months', '8 months']",D,"Suppose B joined forxmonths. Then,Then,85000 x 12=342500 xx1x=85000 x 12= 8.42500 x 3So, B joined for 8 months.",partnership
"Aman started a business investing Rs. 70,000. Rakhi joined him after six months with an amount of Rs.. 1,05,000 and Sagar joined them with Rs. 1.4 lakhs after another six months. The amount of profit earned should be distributed in what ratio among Aman, Rakhi and Sagar respectively, 3 years after Aman started the business?","['7 : 6 : 10', '12 : 15 : 16', '42 : 45 : 56', 'Cannot be determined']",B,"Aman : Rakhi : Sagar = (70,000 x 36) : (1,05,000 x 30) : (1,40,000 x 24) = 12 : 15 : 16.",partnership
"Arun, Kamal and Vinay invested Rs. 8000, Rs. 4000 and Rs. 8000 respectively in a business. Arun left after six months. If after eight months, there was a gain of Rs. 4005, then what will be the share of Kamal?","['Rs. 890', 'Rs. 1335', 'Rs. 1602', 'Rs. 1780']",A,"Arun : Kamal : Vinay = (8,000 x 6) : (4,000 x 8) : (8,000 x 8)= 48 : 32 : 64= 3 : 2 : 4.Kamal's share = Rs.4005 x2= Rs. 890.9",partnership
"Simran started a software business by investing Rs. 50,000. After six months, Nanda joined her with a capital of Rs. 80,000. After 3 years, they earned a profit of Rs. 24,500. What was Simran's share in the profit?","['Rs. 9,423', 'Rs. 10,250', 'Rs. 12,500', 'Rs. 10,500']",D,"Simran : Nanda = (50000 x 36) : (80000 x 30) = 3 : 4.Simran's share = Rs.24500 x3= Rs. 10,500.7",partnership
A batsman scored 110 runs which included 3 boundaries and 8 sixes. What percent of his total score did he make by running between the wickets?,"['45%', '455%11', '546%11', '55%']",B,Number of runs made by running = 110 - (3 x 4 + 8 x 6)= 110 - (60)= 50.Required percentage =50x 100% = 455%11011Video Explanation:https://youtu.be/X2zTnABqEHU,percentage
Two students appeared at an examination. One of them secured 9 marks more than the other and his marks was 56% of the sum of their marks. The marks obtained by them are:,"['39, 30', '41, 32', '42, 33', '43, 34']",C,"Let their marks be (x+ 9) andx.Then,x+ 9 =56(x+ 9 +x)10025(x+ 9) = 14(2x+ 9)3x= 99x= 33So, their marks are 42 and 33.",percentage
"A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally, he had:","['588 apples', '600 apples', '672 apples', '700 apples']",D,"Suppose originally he hadxapples.Then, (100 - 40)% ofx= 420.60xx= 420100x=420 x 100= 700.60Video Explanation:https://youtu.be/-Pv25Do3WwY",percentage
What percentage of numbers from 1 to 70 have 1 or 9 in the unit's digit?,"['1', '14', '20', '21']",C,"Clearly, the numbers which have 1 or 9 in the unit's digit, have squares that end in the digit 1. Such numbers from 1 to 70 are 1, 9, 11, 19, 21, 29, 31, 39, 41, 49, 51, 59, 61, 69.Number of such number =14Required percentage =14x 100% = 20%.70Video Explanation:https://youtu.be/cBamI6iRNIA",percentage
"If A =x% ofyand B =y% ofx, then which of the following is true?","['A is smaller than B.', 'A is greater than B', 'Relationship between A and B cannot be determined.', 'Ifxis smaller thany, then A is greater than B.', 'None of these']",E,x% ofy=xxy=yxx=y% ofx100100A = B.,percentage
"If 20% ofa=b, thenb% of 20 is the same as:","['4% ofa', '5% ofa', '20% ofa', 'None of these']",A,20% ofa=b20a=b.100b% of 20 =bx 20=20ax1x 20=4a= 4% ofa.100100100100,percentage
"In a certain school, 20% of students are below 8 years of age. The number of students above 8 years of age isof the number of students of 8 years of age which is 48. What is the total number of students in the school?","['72', '80', '120', '150', '100']",E,"Let the number of students bex. Then,Number of students above 8 years of age = (100 - 20)% ofx= 80% ofx.80% ofx= 48 +2of 48380x= 80100x= 100.Video Explanation:https://youtu.be/yPfocU6DA2M",percentage
Two numbers A and B are such that the sum of 5% of A and 4% of B is two-third of the sum of 6% of A and 8% of B. Find the ratio of A : B.,"['2 : 3', '1 : 1', '3 : 4', '4 : 3']",D,5% of A + 4% of B =2(6% of A + 8% of B)35A +4B=26A +8B10010031001001A +1B=1A +4B202525751-1A =4-1B202575251A =1B10075A=100=4.B753Required ratio = 4 : 3Video Explanation:YouTube Video,percentage
A student multiplied a number by3instead of5.53What is the percentage error in the calculation?,"['34%', '44%', '54%', '64%']",D,"Let the number bex.Then, error =5x-3x=16x.3515Error% =16xx3x 100% = 64%.155x",percentage
"In an election between two candidates,  one got 55% of the total valid votes, 20% of the votes were invalid. If the total number of votes was 7500, the number of valid votes that the other candidate got, was:","['2700', '2900', '3000', '3100']",A,Number of valid votes = 80% of 7500 = 6000.Valid votes polled by other candidate = 45% of 6000=45x 6000= 2700.100,percentage
"Three candidates contested an election and received 1136, 7636 and 11628 votes respectively. What percentage of the total votes did the winning candidate get?","['57%', '60%', '65%', '90%']",A,Total number of votes polled = (1136 + 7636 + 11628) = 20400.Required percentage =11628x 100% = 57%.20400,percentage
"Two tailors X and Y are paid a total of Rs. 550 per week by their employer. If X is paid 120 percent of the sum paid to Y, how much is Y paid per week?","['Rs. 200', 'Rs. 250', 'Rs. 300', 'None of these']",B,"Let the sum paid to Y per week be Rs.z.Then,z+ 120% ofz= 550.z+120z= 55010011z= 5505z=550 x 5= 250.11",percentage
"Gauri went to the stationers and bought things worth Rs. 25, out of which 30 paise went on sales tax on taxable purchases. If the tax rate was 6%, then what was the cost of the tax free items?","['Rs. 15', 'Rs. 15.70', 'Rs. 19.70', 'Rs. 20']",C,"Let the amount taxable purchases be Rs.x.Then, 6% ofx=30100x=30x100= 5.1006Cost of tax free items = Rs. [25 - (5 + 0.30)] = Rs. 19.70",percentage
"Rajeev buys good worth Rs. 6650. He gets a rebate of 6% on it. After getting the rebate, he pays sales tax @ 10%. Find the amount he will have to pay for the goods.","['Rs. 6876.10', 'Rs. 6999.20', 'Rs. 6654', 'Rs. 7000']",A,Rebate = 6% of Rs. 6650 = Rs.6x 6650= Rs. 399.100Sales tax = 10% of Rs. (6650 - 399) = Rs.10x 6251= Rs. 625.10100Final amount = Rs. (6251 + 625.10) = Rs. 6876.10Video Explanation:https://youtu.be/XuiggCTh3SU,percentage
"The population of a town increased from 1,75,000 to 2,62,500 in a decade. The average percent increase of population per year is:","['4.37%', '5%', '6%', '8.75%']",B,Increase in 10 years = (262500 - 175000) = 87500.Increase% =87500x 100% = 50%.175000Required average =50% = 5%.10,percentage
"Father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit's age. After further 8 years,  how many times would he be of Ronit's age?","['2 times', '21times2', '23times4', '3 times']",A,"Let Ronit's present age bexyears. Then, father's present age =(x+ 3x) years = 4xyears.(4x+ 8) =5(x+ 8)28x+ 16 = 5x+ 403x= 24x= 8.Hence, required ratio =(4x+ 16)=48= 2.(x+ 16)24",problems-on-ages
The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,"['4 years', '8 years', '10 years', 'None of these']",A,"Let the ages of children bex, (x+ 3), (x+ 6), (x+ 9) and (x+ 12) years.Then,x+ (x+ 3) + (x+ 6) + (x+ 9) + (x+ 12) = 505x= 20x= 4.Age of the youngest child =x= 4 years.",problems-on-ages
"A father said to his son, ""I was as old as you are at the present at the time of your birth"". If the father's age is 38 years now, the son's age five years back was:","['14 years', '19 years', '33 years', '38 years']",A,"Let the son's present age bexyears. Then, (38 -x) =x2x= 38.x= 19.Son's age 5 years back (19 - 5) = 14 years.",problems-on-ages
"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 27, then how old is B?","['7', '8', '9', '10', '11']",D,"Let C's age bexyears. Then, B's age = 2xyears. A's age = (2x+ 2) years.(2x+ 2) + 2x+x= 275x= 25x= 5.Hence, B's age = 2x= 10 years.",problems-on-ages
"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Three years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand's present age in years?","['24', '27', '40', 'Cannot be determined', 'None of these']",A,"Let the present ages of Sameer and Anand be 5xyears and 4xyears respectively.Then,5x+ 3=114x+ 399(5x+ 3) = 11(4x+ 3)45x+ 27 = 44x+ 3345x- 44x= 33 - 27x= 6.Anand's present age = 4x= 24 years.",problems-on-ages
"A man is 24 years older than his son. In two years, his age will be twice the age of his son. The present age of his son is:","['14 years', '18 years', '20 years', '22 years']",D,"Let the son's present age bexyears. Then, man's present age = (x+ 24) years.(x+ 24) + 2 = 2(x+ 2)x+ 26 = 2x+ 4x= 22.",problems-on-ages
"Six years ago, the ratio of the ages of Kunal and Sagar was 6 : 5. Four years hence, the ratio of their ages will be 11 : 10. What is Sagar's age at present?","['16 years', '18 years', '20 years', 'Cannot be determined', 'None of these']",A,"Let the ages of Kunal and Sagar 6 years ago be 6xand 5xyears respectively.Then,(6x+ 6) + 4=11(5x+ 6) + 41010(6x+ 10) = 11(5x+ 10)5x= 10x= 2.Sagar's present age = (5x+ 6) = 16 years.",problems-on-ages
"The sum of the present ages of a father and his son is 60 years. Six years ago, father's age was five times the age of the son. After 6 years, son's age will be:","['12 years', '14 years', '18 years', '20 years']",D,"Let the present ages of son and father bexand (60 -x) years respectively.Then, (60 -x) - 6 = 5(x- 6)54 -x= 5x- 306x= 84x= 14.Son's age after 6 years = (x+ 6) = 20 years..",problems-on-ages
"At present, the ratio between the ages of Arun and Deepak is 4 : 3. After 6 years, Arun's age will be 26 years. What is the age of Deepak at present ?","['12 years', '15 years', '19 and half', '21 years']",B,"Let the present ages of Arun and Deepak be 4xyears and 3xyears respectively. Then,4x+ 6 = 264x= 20x= 5.Deepak's age = 3x= 15 years.",problems-on-ages
"Sachin is younger than Rahul by 7 years. If their ages are in the respective ratio of  7 : 9, how old is Sachin?","['16 years', '18 years', '28 years', '24.5 years', 'None of these']",D,"Let Rahul's age bexyears.Then, Sachin's age = (x- 7) years.x- 7=7x99x- 63 = 7x2x= 63x= 31.5Hence, Sachin's age =(x- 7) = 24.5 years.",problems-on-ages
"The present ages of three persons in proportions 4 : 7 : 9. Eight years ago, the sum of their ages was 56. Find their present ages (in years).","['8, 20, 28', '16, 28, 36', '20, 35, 45', 'None of these']",B,"Let their present ages be 4x, 7xand 9xyears respectively.Then, (4x- 8) + (7x- 8) + (9x- 8) = 5620x= 80x= 4.Their present ages are 4x= 16 years, 7x= 28 years and 9x= 36 years respectively.",problems-on-ages
Ayesha's father was 38 years of age when she was born while her mother was 36 years old when her brother four years younger to her was born. What is the difference between the ages of her parents?,"['2 years', '4 years', '6 years', '8 years']",C,Mother's age when Ayesha's brother was born = 36 years.Father's age when Ayesha's brother was born = (38 + 4) years = 42 years.Required difference = (42 - 36) years = 6 years.,problems-on-ages
"A person's present age is two-fifth of the age of his mother. After 8 years, he will be one-half of the age of his mother. How old is the mother at present?","['32 years', '36 years', '40 years', '48 years']",C,"Let the mother's present age bexyears.Then, the person's present age =2xyears.52x+ 8=1(x+ 8)522(2x+ 40) = 5(x+ 8)x= 40.",problems-on-ages
"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q's age?","['1 year', '2 years', '25 years', 'Data inadequate', 'None of these']",D,"Given that:1. The difference of age b/w R and Q = The difference of age b/w Q and T.2. Sum of age of R and T is 50 i.e. (R + T) = 50.Question: R - Q = ?.Explanation:R - Q = Q - T(R + T) = 2QNow given that, (R + T) = 50So, 50 = 2Q and therefore Q = 25.Question is (R - Q) = ?Here we know the value(age) of Q (25), but we don't know the age of R.Therefore, (R-Q) cannot be determined.",problems-on-ages
"The age of father 10 years ago was thrice the age of his son. Ten years hence, father's age will be twice that of his son. The ratio of their present ages is:","['5 : 2', '7 : 3', '9 : 2', '13 : 4']",B,"Let the ages of father and son 10 years ago be 3xandxyears respectively.Then, (3x+ 10) + 10 = 2[(x+ 10) + 10]3x+ 20 = 2x+ 40x= 20.Required ratio = (3x+ 10) : (x+ 10) = 70 : 30 = 7 : 3.",problems-on-ages
"It was Sunday on Jan 1, 2006. What was the day of the week Jan 1, 2010?","['Sunday', 'Saturday', 'Friday', 'Wednesday']",C,"On 31stDecember, 2005 it was Saturday.Number of odd days from the year 2006 to the year 2009 = (1 + 1 + 2 + 1) = 5 days.On 31stDecember 2009, it was Thursday.Thus, on 1stJan, 2010 it is Friday.",calendar
"What was the day of the week on 28thMay, 2006?","['Thursday', 'Friday', 'Saturday', 'Sunday']",D,"28 May, 2006 = (2005 years + Period from 1.1.2006 to 28.5.2006)Odd days in 1600 years = 0Odd days in 400 years = 05 years = (4 ordinary years + 1 leap year) = (4 x 1 + 1 x 2)6 odd daysJan.  Feb.   March    April    May 
(31 +  28  +  31   +   30   +   28 ) = 148 days148 days = (21 weeks + 1 day)1 odd day.Total number of odd days = (0 + 0 + 6 + 1) = 70 odd day.Given day is Sunday.",calendar
"What was the day of the week on 17thJune, 1998?","['Monday', 'Tuesday', 'Wednesday', 'Thursday']",C,"17thJune, 1998 = (1997 years + Period from 1.1.1998 to 17.6.1998)Odd days in 1600 years = 0Odd days in 300 years = (5 x 3)197 years has 24 leap years + 73 ordinary years.Number of odd days in 97 years ( 24 x 2 + 73) = 121 = 2 odd days.Jan.  Feb.   March    April    May      June 
(31 +  28  +  31   +   30   +   31   +   17) = 168 days168 days = 24 weeks = 0 odd day.Total number of odd days = (0 + 1 + 2 + 0) = 3.Given day is Wednesday.",calendar
"What will be the day of the week 15thAugust, 2010?","['Sunday', 'Monday', 'Tuesday', 'Friday']",A,"15thAugust, 2010 = (2009 years + Period 1.1.2010 to 15.8.2010)Odd days in 1600 years = 0Odd days in 400 years = 09 years = (2 leap years + 7 ordinary years) = (2 x 2 + 7 x 1) = 11 odd days4 odd days.Jan.  Feb.   March    April    May  June  July  Aug. 
(31 +  28  +  31   +   30   +  31  + 30  + 31  + 15) = 227 days227 days = (32 weeks + 3 days)3 odd days.Total number of odd days = (0 + 0 + 4 + 3) = 70 odd days.Given day is Sunday.",calendar
"Today is Monday. After 61 days, it will be:","['Wednesday', 'Saturday', 'Tuesday', 'Thursday']",B,"Each day of the week is repeated after 7 days.So, after 63 days, it will be Monday.After 61 days, it will be Saturday.",calendar
"If 6thMarch, 2005 is Monday,what was the day of the week on 6thMarch, 2004?","['Sunday', 'Saturday', 'Tuesday', 'Wednesday']",A,"The year 2004 is a leap year. So, it has 2 odd days.But, Feb 2004 not included because we are calculating from March 2004 to March 2005. So it has 1 odd day only.The day on 6thMarch, 2005 will be 1 day beyond the day on 6thMarch, 2004.Given that, 6thMarch, 2005 is Monday.6thMarch, 2004 is Sunday (1 day before to 6thMarch, 2005).",calendar
"On what dates of April, 2001 did Wednesday fall?","['1st, 8th, 15th, 22nd, 29th', '2nd, 9th, 16th, 23rd, 30th', '3rd, 10th, 17th, 24th', '4th, 11th, 18th, 25th']",D,"We shall find the day on 1stApril, 2001.1stApril, 2001 = (2000 years + Period from 1.1.2001 to 1.4.2001)Odd days in 1600 years = 0Odd days in 400 years = 0Jan. Feb. March April(31 + 28 + 31  +  1)     = 91 days0 odd days.Total number of odd days = (0 + 0 + 0) = 0On 1stApril, 2001 it was Sunday.In April, 2001 Wednesday falls on 4th, 11th, 18thand 25th.",calendar
How many days are there inxweeksxdays?,"['7x2', '8x', '14x', '7']",B,xweeksxdays = (7x+x) days = 8xdays.,calendar
The last day of a century cannot be,"['Monday', 'Wednesday', 'Tuesday', 'Friday']",C,100 years contain 5 odd days.Last day of 1stcentury is Friday.200 years contain (5 x 2)3 odd days.Last day of 2ndcentury is Wednesday.300 years contain (5 x 3) = 151 odd day.Last day of 3rdcentury is Monday.400 years contain 0 odd day.Last day of 4thcentury is Sunday.This cycle is repeated.Last day of a century cannot be Tuesday or Thursday or Saturday.,calendar
"On 8thFeb, 2005 it was Tuesday. What was the day of the week on 8thFeb, 2004?","['Tuesday', 'Monday', 'Sunday', 'Wednesday']",C,"The year 2004 is a leap year. It has 2 odd days.The day on 8thFeb, 2004 is 2 days before the day on 8thFeb, 2005.Hence, this day is Sunday.",calendar
The calendar for the year 2007 will be the same for the year:,"['2014', '2016', '2017', '2018']",D,"Count the number of odd days from the year 2007 onwards to get the sum equal to 0 odd day.Year    : 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017
Odd day : 1    2    1    1    1    2    1    1    1    2    1Sum = 14 odd days0 odd days.Calendar for the year 2018 will be the same as for the year 2007.",calendar
Which of the following is not a leap year?,"['700', '800', '1200', '2000']",A,The century divisible by 400 is a leap year.The year 700 is not a leap year.,calendar
"On 8thDec, 2007 Saturday falls. What day of the week was it on 8thDec, 2006?","['Sunday', 'Thursday', 'Tuesday', 'Friday']",D,"The year 2006 is an ordinary year. So, it has 1 odd day.So, the day on 8thDec, 2007 will be 1 day beyond the day on 8thDec, 2006.But, 8thDec, 2007 is Saturday.8thDec, 2006 is Friday.",calendar
